POR,Preferred Resource,Lat,Lng,State,Category,CCTV,Alarm,Access Control,Install,Service,Single Tech only,Phone,Email,Notes,Circle50
Melbourne,ADT,-37.8136,144.9631,VIC,ADT,YES,YES,YES,YES,YES,NO,131005,service@adtsecurity.com.au,In House Techs - Subcontractors Available,TRUE
Bendigo,Bendigo Security - Lisa Lohse,-36.757,144.2794,VIC,Subcontractor,YES,YES,YES,YES,YES,NO,(03)54440154,office@bendigosecurity.com.au,All systems,TRUE
Shepparton,Insight Protection - Mark Liversidge,-36.3805,145.399,VIC,Subcontractor,YES,YES,YES,YES,YES,NO,(03)58212677,service@insightprotection.com.au,Has NSW Licence and will travel to NSW. Will also work along VIC/NSW Border.,TRUE
Mildura,Sunraysia Security - Sam,-34.1855,142.1625,VIC,Subcontractor,YES,YES,NO,YES,YES,NO,(03)50213888,sam@sunraysiasecurity.com.au; admin@sunraysiasecurity.com.au,LIMITED SKILLSET - must check with SDC if not NEO/Qol/SYB/Hik. Limitted Travel: Alternate Resource: Insight Protection (Shepparton). No SA Licence.,TRUE
Mulgrave,ADT,-37.9187,145.1588,VIC,ADT,YES,YES,YES,YES,YES,NO,131005,service@adtsecurity.com.au,In House Techs - Subcontractors Available,TRUE
Sydney,ADT,-33.8727,151.2057,NSW,ADT,YES,YES,YES,YES,YES,NO,131005,service@adtsecurity.com.au,In House Techs - Subcontractors Available,TRUE
Rydalmere,ADT,-33.8123,151.0418,NSW,ADT,YES,YES,YES,YES,YES,NO,131005,service@adtsecurity.com.au,In House Techs - Subcontractors Available,TRUE
Orange,Central West Alarms - Greg Jepson,-33.2816,149.0862,NSW,Subcontractor,YES,YES,YES,YES,YES,NO,0409222800,greg@centralwestalarms.com,,TRUE
Perth,ADT,-31.9514,115.8617,WA,ADT,YES,YES,YES,YES,YES,NO,131005,service@adtsecurity.com.au,In House Techs - Subcontractors Available,TRUE
Coffs Harbour,North Coast Electrical - Anthony Gauci,-30.2962,153.1139,NSW,Subcontractor,YES,YES,YES,YES,YES,NO,0400040101,nces@mail.com; anthony.gauci@bigpond.com,,TRUE
Mount Gambier,ISM Security  - Ian McInerny,-37.8244,140.7838,SA,Subcontractor,YES,YES,YES,YES,YES,NO,0419823047,ian@ismsecurity.com.au,Also has VIC Licence and will travel across to VIC,TRUE
Adelaide,ADT,-34.9285,138.6007,SA,ADT,YES,YES,YES,YES,YES,NO,131005,service@adtsecurity.com.au,In House Techs - Subcontractors Available,TRUE
Karratha,Comtec Data Pty Ltd (Karratha),-20.7337,116.8447,WA,Subcontractor,YES,YES,YES,YES,YES,NO,1300466866,admin@comtecdata.com.au; projects@comtecdata.com.au,,TRUE
